Date,close_without_season
2021-03-25,-5.420852050781249
2021-03-26,-4.729781036376963
2021-03-29,-5.181727371215814
2021-03-30,-4.809949188232423
2021-03-31,-2.1728504180908454
2021-04-01,-2.0703231811523324
2021-04-05,3.9014808654785043
2021-04-06,8.601575927734359
2021-04-07,7.642804946899389
2021-04-08,11.306851654052736
2021-04-09,13.862929306030281
2021-04-12,14.798900909423836
2021-04-13,15.214568328857439
2021-04-14,10.890949172973635
2021-04-15,15.637294921875025
2021-04-16,14.837327575683602
2021-04-19,13.436118850708013
2021-04-20,1.5794760894775521
2021-04-21,2.4463009643554727
2021-04-22,-0.7682215881347645
2021-04-23,2.514853286743161
2021-04-26,0.09583061218262223
2021-04-27,-3.1612513732909804
2021-04-28,-5.117872161865236
2021-04-29,-2.3747267150878884
2021-04-30,-5.6924496459961205
2021-05-03,-7.9410050964355605
2021-05-04,-15.989208145141589
2021-05-05,-14.479699249267583
2021-05-06,-14.672846221923834
2021-05-07,-18.97259284973144
2021-05-10,-23.025973587036134
2021-05-11,-28.92577560424806
2021-05-12,-32.38532936096192
2021-05-13,-25.769224700927737
2021-05-14,-26.485097045898428
2021-05-17,-21.651104431152362
2021-05-18,-27.066777877807638
2021-05-19,-32.51479438781739
2021-05-20,-31.867691345214823
2021-05-21,-30.656472167968758
2021-05-24,-20.481998748779276
2021-05-25,-18.625251770019517
2021-05-26,-8.578851089477524
2021-05-27,-15.14012825012206
2021-05-28,-16.045571441650367
2021-06-01,-19.662171783447263
2021-06-02,-24.36566085815427
2021-06-03,-29.84352363586426
2021-06-04,-24.25275207519529
2021-06-07,-21.325767898559562
2021-06-08,-11.961395416259762
2021-06-09,-9.58013687133787
2021-06-10,-14.353921966552747
2021-06-11,-9.154410400390631
2021-06-14,-5.926483612060551
2021-06-15,-14.142224349975592
2021-06-16,-15.459550247192382
2021-06-17,-12.839732208251945
2021-06-18,-14.779185867309565
2021-06-21,-13.10529769897461
2021-06-22,-7.154931106567361
2021-06-23,-10.921573410034185
2021-06-24,-5.414427719116219
2021-06-25,-5.0721228790283135
2021-06-28,-1.9241596221923771
2021-06-29,-2.3353448486328148
2021-06-30,-5.049345397949224
2021-07-01,-1.167045364379888
2021-07-02,2.0658803558349916
2021-07-06,9.092132034301756
2021-07-07,13.259308395385716
2021-07-08,8.558976135253914
2021-07-09,11.658645706176756
2021-07-12,14.804274673461904
2021-07-13,19.05782722473147
2021-07-14,22.03181976318359
2021-07-15,26.36521690368653
2021-07-16,17.89435432434084
2021-07-19,20.403371505737283
2021-07-20,17.96924491882322
2021-07-21,24.50136940002443
2021-07-22,22.9333334350586
2021-07-23,21.25312042236328
2021-07-26,17.77385635375974
2021-07-27,15.531206665039065
2021-07-28,14.466770401001014
2021-07-29,14.021975250244125
2021-07-30,15.34549850463867
2021-08-02,13.808010177612317
2021-08-03,15.344905471801766
2021-08-04,14.187695999145504
2021-08-05,13.03169540405274
2021-08-06,14.424498825073243
2021-08-09,13.490396347045902
2021-08-10,11.477507095336904
2021-08-11,10.0800032043457
2021-08-12,16.21960235595705
2021-08-13,13.308106689453126
2021-08-16,11.859496002197275
2021-08-17,7.607006301879892
2021-08-18,3.0003923034668105
2021-08-19,-3.5260967254638587
2021-08-20,0.04750183105468864
2021-08-23,-0.7844956970214554
2021-08-24,0.14719131469728097
2021-08-25,-3.2795959472656335
2021-08-26,-3.04750488281249
2021-08-27,0.12360710144042741
2021-08-30,4.678394546508797
2021-08-31,1.7697908020019355
2021-09-01,2.631894531250011
2021-09-02,-1.9602026367187477
2021-09-03,-0.4014962005615388
2021-09-07,1.271409912109391
2021-09-08,3.77889038085938
2021-09-09,0.11271827697751702
2021-09-10,-3.925402145385746
2021-09-13,-2.7669097900390653
2021-09-14,-6.879211654663081
2021-09-15,-11.214810409545919
2021-09-16,-6.209900360107426
2021-09-17,-6.710807342529293
2021-09-20,-5.560596694946284
2021-09-21,-3.8775123596191463
2021-09-22,-5.391985473632816
2021-09-23,1.3110066986084234
2021-09-24,-1.3407985687256025
